OTUID	SDF1	SDF10	SDF11	SDF12	SDF13	SDF14	SDF15	SDF16	SDF17	SDF18	SDF19	SDF2	SDF20	SDF3	SDF4	SDF5	SDF6	SDF7	SDF8	SDF9	SDFP10A	SDFP10B	SDFP11A	SDFP11B	SDFP12A	SDFP12B	SDFP13A	SDFP13B	SDFP14A	SDFP14B	SDFP15A	SDFP15B	SDFP16A	SDFP16B	SDFP17A	SDFP17B	SDFP18A	SDFP18B	SDFP19A	SDFP19B	SDFP1A	SDFP1B	SDFP20A	SDFP20B	SDFP2A	SDFP2B	SDFP3A	SDFP3B	SDFP4A	SDFP4B	SDFP5A	SDFP5B	SDFP6A	SDFP6B	SDFP7A	SDFP7B	SDFP8A	SDFP8B	SDFP9A	SDFP9B
c6c237adf1a7475017920842cebb18f4	215.0	287.0	267.0	311.0	718.0	187.0	307.0	280.0	81.0	872.0	343.0	273.0	1058.0	366.0	502.0	327.0	258.0	189.0	390.0	682.0	122.0	589.0	344.0	65.0	50.0	46.0	104.0	150.0	85.0	62.0	194.0	42.0	196.0	81.0	62.0	48.0	32.0	135.0	111.0	109.0	165.0	122.0	130.0	68.0	66.0	95.0	209.0	141.0	125.0	152.0	103.0	50.0	82.0	46.0	174.0	39.0	249.0	66.0	289.0	241.0
f7ec262b93d9d5c23fd3713bad7ca970	169.0	241.0	186.0	282.0	553.0	193.0	249.0	218.0	69.0	696.0	290.0	243.0	916.0	299.0	432.0	268.0	213.0	146.0	332.0	550.0	106.0	497.0	335.0	55.0	55.0	29.0	98.0	136.0	65.0	45.0	155.0	56.0	167.0	73.0	54.0	57.0	25.0	138.0	77.0	88.0	146.0	107.0	160.0	64.0	56.0	96.0	178.0	136.0	119.0	133.0	84.0	48.0	76.0	44.0	149.0	23.0	208.0	53.0	271.0	204.0
4b7855ba9bd15447a9942f8b48640424	141.0	210.0	160.0	243.0	443.0	147.0	172.0	155.0	53.0	573.0	246.0	194.0	726.0	200.0	354.0	214.0	200.0	117.0	229.0	425.0	75.0	394.0	259.0	41.0	29.0	30.0	68.0	100.0	57.0	45.0	134.0	40.0	135.0	50.0	44.0	33.0	12.0	111.0	64.0	73.0	106.0	89.0	111.0	42.0	40.0	49.0	147.0	91.0	84.0	88.0	73.0	34.0	42.0	32.0	102.0	23.0	151.0	52.0	204.0	151.0
e93c6efd98d22930884e3db671ff1c72	26.0	43.0	32.0	15.0	100.0	21.0	23.0	34.0	30.0	717.0	46.0	46.0	380.0	62.0	24.0	18.0	238.0	30.0	15.0	32.0	70.0	70.0	35.0	46.0	40.0	26.0	28.0	102.0	155.0	593.0	193.0	108.0	261.0	77.0	228.0	58.0	797.0	551.0	240.0	16.0	313.0	303.0	155.0	198.0	26.0	41.0	71.0	151.0	29.0	209.0	161.0	146.0	247.0	127.0	70.0	294.0	70.0	117.0	43.0	176.0
de4b9e4a367e1fae59e900bc06823598	128.0	185.0	173.0	244.0	414.0	130.0	167.0	150.0	57.0	537.0	203.0	184.0	654.0	209.0	344.0	204.0	161.0	121.0	238.0	373.0	98.0	351.0	244.0	40.0	38.0	34.0	65.0	106.0	49.0	34.0	127.0	24.0	129.0	64.0	33.0	36.0	20.0	111.0	48.0	70.0	112.0	97.0	90.0	52.0	35.0	65.0	157.0	77.0	95.0	101.0	63.0	37.0	61.0	23.0	111.0	31.0	156.0	34.0	195.0	137.0
7193e461da038bcfbbe25e4b9eadbe67	715.0	410.0	596.0	437.0	174.0	193.0	389.0	376.0	628.0	68.0	42.0	30.0	55.0	100.0	532.0	362.0	141.0	736.0	405.0	1004.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	28.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	18.0	20.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	49.0
ef9da564f34aad1aebedfc31be16aa8f	130.0	149.0	156.0	206.0	404.0	107.0	142.0	142.0	44.0	483.0	204.0	161.0	602.0	210.0	267.0	179.0	167.0	116.0	175.0	394.0	82.0	322.0	208.0	43.0	32.0	19.0	60.0	91.0	53.0	32.0	129.0	21.0	129.0	51.0	33.0	30.0	20.0	81.0	62.0	50.0	93.0	63.0	80.0	33.0	31.0	58.0	121.0	94.0	81.0	90.0	71.0	35.0	55.0	23.0	85.0	14.0	151.0	41.0	150.0	148.0
cad1aeca62765ccbe987f2072e2dbe81	17.0	41.0	25.0	14.0	96.0	19.0	18.0	32.0	17.0	586.0	31.0	42.0	309.0	43.0	19.0	14.0	211.0	36.0	9.0	22.0	57.0	62.0	43.0	45.0	26.0	27.0	24.0	82.0	140.0	486.0	162.0	89.0	248.0	61.0	226.0	54.0	710.0	492.0	208.0	21.0	250.0	268.0	137.0	203.0	20.0	46.0	64.0	131.0	23.0	167.0	149.0	125.0	210.0	130.0	56.0	270.0	71.0	93.0	50.0	129.0
cc3f2fc5bb63a0be9cc94ec9553b0295	613.0	345.0	484.0	346.0	151.0	174.0	335.0	275.0	497.0	52.0	37.0	25.0	62.0	85.0	457.0	277.0	124.0	611.0	342.0	823.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	25.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	17.0	19.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	30.0
46b1808e21265d369685776387aa7181	27.0	34.0	17.0	11.0	71.0	9.0	18.0	29.0	9.0	484.0	13.0	33.0	246.0	40.0	20.0	9.0	138.0	19.0	11.0	24.0	41.0	41.0	19.0	0.0	21.0	25.0	28.0	82.0	117.0	413.0	135.0	73.0	183.0	38.0	148.0	50.0	581.0	362.0	177.0	13.0	199.0	217.0	88.0	156.0	10.0	24.0	42.0	110.0	16.0	120.0	142.0	97.0	185.0	91.0	43.0	200.0	51.0	69.0	32.0	93.0
6ddde2923043e099752ed6d2ce613cd4	21.0	41.0	22.0	31.0	292.0	0.0	35.0	185.0	36.0	0.0	92.0	138.0	94.0	0.0	0.0	0.0	117.0	20.0	0.0	145.0	46.0	51.0	312.0	88.0	19.0	25.0	111.0	35.0	66.0	64.0	277.0	296.0	103.0	270.0	101.0	26.0	0.0	0.0	187.0	13.0	31.0	31.0	25.0	287.0	199.0	847.0	0.0	0.0	21.0	0.0	23.0	0.0	37.0	55.0	29.0	0.0	33.0	0.0	520.0	125.0
500a171a2e0c66a4ef03686cee291788	16.0	25.0	18.0	5.0	76.0	12.0	6.0	29.0	8.0	411.0	36.0	32.0	201.0	34.0	0.0	0.0	127.0	19.0	0.0	20.0	54.0	57.0	16.0	16.0	19.0	26.0	17.0	70.0	97.0	377.0	118.0	85.0	167.0	46.0	125.0	44.0	533.0	368.0	158.0	19.0	180.0	212.0	121.0	171.0	15.0	34.0	45.0	98.0	31.0	162.0	93.0	80.0	180.0	80.0	46.0	169.0	51.0	103.0	24.0	100.0
a9431c743050870e42c942be7a64f45f	415.0	298.0	380.0	315.0	112.0	147.0	263.0	233.0	421.0	37.0	24.0	22.0	33.0	69.0	368.0	237.0	112.0	504.0	293.0	686.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	16.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	13.0	14.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	24.0
ded891a46e2a4d177bc47bf5461f6db7	415.0	299.0	426.0	277.0	106.0	129.0	258.0	228.0	461.0	35.0	29.0	0.0	53.0	68.0	348.0	263.0	100.0	582.0	257.0	652.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	13.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0
328af20daa55033a8e0fdbb9b59df043	465.0	312.0	404.0	330.0	116.0	123.0	231.0	175.0	383.0	37.0	27.0	11.0	36.0	63.0	363.0	251.0	106.0	527.0	280.0	659.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	22.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	9.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0
f61e7f53dab91016059e4bc7328da924	22.0	39.0	18.0	7.0	72.0	13.0	12.0	23.0	10.0	378.0	17.0	19.0	230.0	37.0	16.0	8.0	125.0	10.0	7.0	8.0	36.0	46.0	22.0	28.0	18.0	18.0	17.0	66.0	86.0	297.0	109.0	63.0	147.0	29.0	145.0	31.0	485.0	325.0	151.0	18.0	164.0	203.0	83.0	105.0	13.0	21.0	40.0	78.0	23.0	106.0	88.0	81.0	129.0	83.0	50.0	165.0	45.0	62.0	31.0	106.0
